Timestamp (ms since Unix Epoch),X,Y,Z,Activity
1565081453169,0.791199,0.179688,0.640808,0
1565081453209,0.803528,0.20636,0.639343,0
1565081453250,0.797485,0.181641,0.628601,0
1565081453289,0.817017,0.14856,0.624084,0
1565081453330,0.805054,0.167114,0.638916,0
1565081453370,0.804382,0.222412,0.651123,0
1565081453411,0.804077,0.253113,0.634033,0
1565081453451,0.824951,0.246521,0.576782,0
1565081453490,0.801147,0.247742,0.588196,0
1565081453531,0.751099,0.224976,0.65448,0
1565081453571,0.798645,0.157898,0.662415,0
1565081453612,0.836975,0.121948,0.643555,0
1565081453651,0.840576,0.207275,0.656494,0
1565081453692,0.822693,0.257141,0.619324,0
1565081453732,0.816528,0.260986,0.580322,0
1565081453773,0.789673,0.24231,0.601379,0
1565081453812,0.776367,0.202515,0.660156,0
1565081453853,0.787109,0.148865,0.684387,0
1565081453893,0.807983,0.152588,0.702454,0
1565081453934,0.838013,0.197144,0.673157,0
1565081453974,0.849304,0.242859,0.628906,0
1565081454015,0.793396,0.264221,0.602112,0
1565081454054,0.768616,0.275391,0.599426,0
1565081454095,0.786804,0.248169,0.632874,0
1565081454135,0.801697,0.183411,0.638489,0
1565081454174,0.790894,0.14447,0.653687,0
1565081454215,0.736328,0.149414,0.66449,0
1565081454255,0.756104,0.19104,0.655823,0
1565081454296,0.832214,0.228516,0.631104,0
1565081454335,0.861572,0.253357,0.615479,0
1565081454376,0.879211,0.261047,0.614868,0
1565081454416,0.826904,0.247009,0.609253,0
1565081454457,0.755676,0.23053,0.64502,0
1565081454496,0.703247,0.191467,0.705139,0
1565081454538,0.722351,0.120972,0.759094,0
1565081454577,0.735474,0.0423584,0.80249,0
1565081454618,0.700012,0.00366211,0.794312,0
1565081454658,0.709045,0.0393677,0.674255,0
1565081454699,0.729919,0.122314,0.675781,0
1565081454738,0.698608,0.144714,0.740112,0
1565081454779,0.756226,0.0780029,0.659302,0
1565081454819,0.743469,0.053894,0.637146,0
1565081454860,0.721008,0.0783081,0.699036,0
1565081454899,0.744019,0.0446777,0.717773,0
1565081454939,0.746887,0.000488281,0.700989,0
1565081454980,0.717834,0.0250854,0.708923,0
1565081455019,0.710022,0.0733032,0.701294,0
1565081455060,0.750732,0.125427,0.714294,0
1565081455100,0.775635,0.123596,0.706299,0
1565081455141,0.788879,0.109863,0.677795,0
1565081455181,0.745483,0.129883,0.693665,0
1565081455222,0.714966,0.111206,0.732544,0
1565081455261,0.728455,0.0426025,0.704895,0
1565081455302,0.774658,0.0276489,0.664185,0
1565081455342,0.759338,0.0512695,0.646362,0
1565081455383,0.742126,0.083313,0.640625,0
1565081455422,0.760376,0.0938721,0.626831,0
1565081455463,0.779236,0.0479736,0.634155,0
1565081455503,0.76239,0.03302,0.668396,0
1565081455544,0.750427,0.0600586,0.690857,0
1565081455583,0.768433,0.0873413,0.689392,0
1565081455623,0.796692,0.0749512,0.673462,0
1565081455664,0.785583,0.0428467,0.670715,0
1565081455704,0.717896,0.0411987,0.701477,0
1565081455745,0.668945,0.0637207,0.736938,0
1565081455784,0.683289,0.0774536,0.71875,0
1565081455825,0.744446,0.0615234,0.694397,0
1565081455865,0.791382,0.0514526,0.714478,0
1565081455906,0.766418,0.027832,0.708191,0
1565081455945,0.744568,0.0384521,0.676514,0
1565081455986,0.717468,0.0838013,0.684448,0
1565081456026,0.727722,0.0914307,0.734863,0
1565081456067,0.852844,0.0646362,0.662598,0
1565081456106,0.911926,0.0446777,0.607117,0
1565081456147,0.856812,0.0410156,0.541321,0
1565081456187,0.854126,-0.0471802,0.453857,0
1565081456228,0.843506,-0.102539,0.505005,0
1565081456267,0.836731,-0.104736,0.593689,0
1565081456309,0.824219,-0.078125,0.629944,0
1565081456348,0.888489,-0.0421753,0.614624,0
1565081456388,0.913452,0.00109863,0.582153,0
1565081456429,0.801514,-0.0325317,0.534729,0
1565081456468,0.756042,-0.0685425,0.473267,0
1565081456509,0.792236,-0.0582886,0.467041,0
1565081456549,0.800049,-0.0661011,0.508118,0
1565081456590,0.883728,-0.0391846,0.558777,0
1565081456629,1.00922,-0.00531006,0.609802,0
1565081456670,1.09161,0.0300903,0.644775,0
1565081456710,0.888611,0.00732422,0.694824,0
1565081456751,0.786926,-0.0112915,0.695679,0
1565081456790,0.834717,-0.0540771,0.667603,0
1565081456831,0.880554,-0.0491333,0.787842,0
1565081456871,0.755493,0.00408936,0.982178,0
1565081456912,0.663574,-0.010376,1.02057,0
1565081456952,0.68158,-0.102478,0.961914,0
1565081456993,0.685791,-0.165833,0.876587,0
1565081457032,0.664368,-0.196411,0.80127,0
1565081457072,0.532898,-0.281433,0.707947,0
1565081457113,0.396667,-0.378052,0.641418,0
1565081457154,0.34375,-0.471191,0.571533,0
1565081457193,0.398926,-0.53595,0.493225,0
1565081457233,0.366882,-0.53009,0.517578,0
1565081457274,0.236694,-0.47937,0.573425,0
1565081457313,0.101379,-0.512695,0.600708,0
1565081457354,0.193237,-0.553894,0.664063,0
1565081457394,0.097229,-0.590332,0.730835,0
1565081457435,0.141296,-0.637573,0.691833,0
1565081457475,0.234924,-0.63092,0.663452,0
1565081457516,0.186279,-0.614441,0.633728,0
1565081457555,0.15033,-0.590393,0.65271,0
1565081457596,0.152649,-0.540344,0.707458,0
1565081457636,0.172546,-0.519165,0.720886,0
1565081457677,0.264526,-0.593079,0.602844,0
1565081457716,0.188232,-0.623413,0.572021,0
1565081457757,0.116089,-0.641663,0.59906,0
1565081457797,0.158447,-0.683411,0.556641,0
1565081457838,0.22876,-0.714233,0.53363,0
1565081457877,0.106018,-0.744202,0.423889,0
1565081457917,0.289001,-0.770203,0.383057,0
1565081457958,0.503235,-0.795593,0.346497,0
1565081457997,0.481018,-0.824524,0.376282,0
1565081458038,0.57782,-0.820923,0.470215,0
1565081458078,0.573486,-0.778198,0.473083,0
1565081458119,0.495728,-0.723145,0.423645,0
1565081458159,0.536072,-0.686707,0.442749,0
1565081458200,0.577454,-0.66687,0.436157,0
1565081458239,0.55542,-0.658875,0.398376,0
1565081458280,0.572876,-0.66687,0.435425,0
1565081458320,0.597473,-0.666138,0.46051,0
1565081458361,0.52832,-0.665588,0.455322,0
1565081458400,0.46875,-0.667358,0.50238,0
1565081458441,0.368103,-0.658264,0.522766,0
1565081458481,0.434265,-0.668457,0.520386,0
1565081458522,0.576111,-0.635071,0.562622,0
1565081458561,0.514832,-0.608215,0.579346,0
1565081458601,0.508057,-0.596069,0.559265,0
1565081458642,0.565857,-0.582153,0.538635,0
1565081458682,0.453247,-0.585449,0.52002,0
1565081458723,0.476135,-0.600342,0.503601,0
1565081458762,0.556824,-0.60321,0.518616,0
1565081458803,0.59668,-0.596802,0.559998,0
1565081458843,0.6203,-0.60437,0.581299,0
1565081458884,0.615662,-0.602966,0.606445,0
1565081458923,0.591858,-0.590637,0.649475,0
1565081458964,0.50647,-0.564148,0.673889,0
1565081459004,0.39978,-0.531311,0.672119,0
1565081459045,0.335938,-0.515015,0.672241,0
1565081459084,0.290161,-0.520203,0.66156,0
1565081459125,0.255188,-0.466125,0.670532,0
1565081459165,0.0708008,-0.429871,0.670837,0
1565081459206,-0.0946045,-0.416565,0.663757,0
1565081459246,0.0640259,-0.362305,0.719543,0
1565081459287,0.257385,-0.36908,0.689697,0
1565081459326,0.25885,-0.364258,0.564148,0
1565081459366,0.463806,-0.236816,0.576294,0
1565081459407,0.87854,-0.0250244,0.496277,0
1565081459446,1.5199,0.151062,0.471985,0
1565081459487,1.36224,0.141663,0.627808,0
1565081459527,0.9151,0.0546265,0.709351,0
1565081459568,0.841492,0.132324,0.802246,0
1565081459607,0.766846,0.234924,0.896179,0
1565081459648,0.549988,0.190369,0.868958,0
1565081459688,1.04492,0.109375,0.984375,0
1565081459729,0.961487,0.0857544,1.11798,0
1565081459768,0.372314,0.0234985,0.833618,0
1565081459809,0.373413,0.0298462,0.75238,0
1565081459849,0.526245,0.0650635,0.905945,0
1565081459890,0.453064,0.124878,0.993835,0
1565081459930,0.315735,0.148926,0.986267,0
1565081459971,0.296936,0.14856,1.00299,0
1565081460010,0.307312,0.139465,1.07013,0
1565081460051,0.27832,0.151001,1.01337,0
1565081460091,0.300964,0.191528,0.962036,0
1565081460130,0.355164,0.213379,0.955994,0
1565081460171,0.374512,0.213928,0.949219,0
1565081460211,0.404114,0.228821,0.941406,0
1565081460252,0.40686,0.253357,0.936096,0
1565081460291,0.421082,0.261414,0.932922,0
1565081460332,0.452209,0.254639,0.926575,0
1565081460372,0.463135,0.244385,0.903992,0
1565081460413,0.484253,0.250793,0.881714,0
1565081460453,0.48407,0.248962,0.86853,0
1565081460494,0.488831,0.238464,0.869507,0
1565081460533,0.503479,0.233398,0.895142,0
1565081460574,0.497437,0.230225,0.92572,0
1565081460614,0.476135,0.230408,0.920471,0
1565081460655,0.457214,0.236389,0.908997,0
1565081460694,0.452393,0.241882,0.914917,0
1565081460735,0.44342,0.240173,0.91449,0
1565081460775,0.452332,0.229431,0.918884,0
1565081460816,0.462036,0.213379,0.916687,0
1565081460855,0.480652,0.207764,0.902588,0
1565081460895,0.521851,0.214294,0.88092,0
1565081460936,0.545105,0.225342,0.858765,0
1565081460975,0.547241,0.220703,0.858032,0
1565081461017,0.529114,0.206543,0.869629,0
1565081461056,0.508911,0.200562,0.885437,0
1565081461097,0.500977,0.197632,0.886658,0
1565081461137,0.503296,0.197571,0.879333,0
1565081461178,0.519836,0.197632,0.873962,0
1565081461217,0.51825,0.19928,0.883118,0
1565081461258,0.512451,0.202148,0.892517,0
1565081461298,0.518127,0.196594,0.873779,0
1565081461339,0.530518,0.195374,0.86969,0
1565081461378,0.516785,0.195984,0.880371,0
1565081461419,0.517517,0.196899,0.880981,0
1565081461459,0.534485,0.197449,0.877197,0
1565081461500,0.528809,0.203125,0.8797,0
1565081461539,0.52887,0.2052,0.872498,0
1565081461579,0.509888,0.181396,0.870239,0
1565081461620,0.444946,0.119995,0.896118,0
1565081461660,0.387817,0.0413818,0.93396,0
1565081461701,0.411743,-0.00878906,0.942993,0
1565081461740,0.465576,0.003479,0.918457,0
1565081461781,0.510986,0.0686035,0.88916,0
1565081461821,0.540833,0.139099,0.880066,0
1565081461862,0.518311,0.161682,0.899902,0
1565081461901,0.445374,0.121704,0.936218,0
1565081461942,0.416199,0.0692139,0.948242,0
1565081461982,0.465149,0.0605469,0.924988,0
1565081462023,0.517639,0.093689,0.871338,0
1565081462062,0.520203,0.121643,0.849548,0
1565081462103,0.479736,0.121033,0.886414,0
1565081462143,0.44458,0.101624,0.915344,0
1565081462184,0.474915,0.0924072,0.915039,0
1565081462224,0.509338,0.0881348,0.904114,0
1565081462265,0.491943,0.0856323,0.908752,0
1565081462304,0.472412,0.081543,0.912048,0
1565081462344,0.464478,0.092041,0.896301,0
1565081462385,0.471802,0.108887,0.884644,0
1565081462424,0.488403,0.11145,0.895935,0
1565081462465,0.495911,0.101868,0.908813,0
1565081462505,0.485596,0.0888062,0.906372,0
1565081462546,0.475037,0.0864258,0.90625,0
1565081462585,0.476868,0.0887451,0.90271,0
1565081462626,0.486084,0.0958862,0.891907,0
1565081462666,0.484436,0.0988159,0.9021,0
1565081462707,0.467285,0.09198,0.914124,0
1565081462746,0.475342,0.0897217,0.910889,0
1565081462788,0.484985,0.100403,0.899414,0
1565081462827,0.483154,0.106628,0.897217,0
1565081462868,0.480225,0.104187,0.901917,0
1565081462908,0.479248,0.10022,0.906372,0
1565081462949,0.47644,0.100708,0.901184,0
1565081462988,0.481506,0.100464,0.895386,0
1565081463028,0.487915,0.101257,0.900146,0
1565081463069,0.479858,0.101074,0.898926,0
1565081463108,0.479492,0.102539,0.903076,0
1565081463149,0.480347,0.101135,0.904541,0
1565081463189,0.476807,0.0991821,0.907471,0
1565081463230,0.47229,0.098999,0.908325,0
1565081463269,0.475769,0.103088,0.901062,0
