Timestamp (ms since Unix Epoch),X,Y,Z,Activity,Resultant,x-mean,(x-mean)2,variance,,,,
1.56509E+12,0.982849,0.00177002,0.03302,5,0.98340511,-0.046426599,0.002155429,,,,,
1.56509E+12,1.00305,-0.00402832,0.0377197,5,1.003767057,-0.026064651,0.000679366,,,,,
1.56509E+12,1.01965,-0.00622559,0.0476074,5,1.020779773,-0.009051936,8.19375E-05,,,,,
1.56509E+12,0.989868,-0.00561523,0.0380859,5,0.990616335,-0.039215373,0.001537846,,,,,
1.56509E+12,1.00653,-0.00115967,0.0348511,5,1.007133847,-0.022697862,0.000515193,,,,,
1.56509E+12,1.01849,0.00305176,0.059021,5,1.02020325,-0.009628459,9.27072E-05,,,,,
1.56509E+12,0.981506,0.0234985,0.041626,5,0.982669289,-0.04716242,0.002224294,,,,,
1.56509E+12,0.973389,0.0220337,0.043396,5,0.974604967,-0.055226742,0.003049993,,,,,
1.56509E+12,0.944153,0.0397339,0.0454712,5,0.946082079,-0.08374963,0.007014001,,,,,
1.56509E+12,0.995789,0.0401611,0.0587769,5,0.998330291,-0.031501418,0.000992339,,,,,
1.56509E+12,1.05792,0.0493774,0.100525,5,1.063831815,0.034000106,0.001156007,,,,,
1.56509E+12,1.01605,0.078186,0.104065,5,1.024353541,-0.005478168,3.00103E-05,,,,,
1.56509E+12,1.00616,0.0936279,0.103882,5,1.015832466,-0.013999243,0.000195979,,,,,
1.56509E+12,1.01538,0.106018,0.107605,5,1.026555014,-0.003276695,1.07367E-05,,,,,
1.56509E+12,0.991882,0.122437,0.13324,5,1.008252755,-0.021578954,0.000465651,,,,,
1.56509E+12,0.998535,0.132629,0.146423,5,1.017891101,-0.011940608,0.000142578,,,,,
1.56509E+12,1.0379,0.135559,0.165894,5,1.059779917,0.029948208,0.000896895,,,,,
1.56509E+12,0.998901,0.14447,0.187073,5,1.026484825,-0.003346884,1.12016E-05,,,,,
1.56509E+12,0.945984,0.155884,0.167969,5,0.973344304,-0.056487405,0.003190827,,,,,
1.56509E+12,0.988464,0.177551,0.23938,5,1.032418627,0.002586918,6.69215E-06,,,,,
1.56509E+12,1.06073,0.235291,0.332642,5,1.136292519,0.10646081,0.011333904,,,,,
1.56509E+12,1.01953,0.258667,0.394287,5,1.123304178,0.093472469,0.008737102,,,,,
1.56509E+12,0.844666,0.266052,0.476013,5,1.005401758,-0.024429951,0.000596823,,,,,
1.56509E+12,0.930725,0.248962,0.615845,5,1.143457987,0.113626278,0.012910931,,,,,
1.56509E+12,0.938354,0.194702,0.637207,5,1.150847453,0.121015744,0.01464481,,,,,
1.56509E+12,0.78363,0.156189,0.604492,5,1.0019389,-0.027892809,0.000778009,,,,,
1.56509E+12,0.746216,0.118042,0.634094,5,0.986330286,-0.043501423,0.001892374,,,,,
1.56509E+12,0.753845,0.123474,0.598022,5,0.9701332,-0.059698509,0.003563912,,,,,
1.56509E+12,0.712585,0.151001,0.573364,5,0.926997821,-0.102833888,0.010574808,,,,,
1.56509E+12,0.724854,0.170654,0.651428,5,0.989390999,-0.04044071,0.001635451,,,,,
1.56509E+12,0.72345,0.178772,0.658264,5,0.99430922,-0.035522489,0.001261847,,,,,
1.56509E+12,0.669067,0.19635,0.703979,5,0.990853372,-0.038978337,0.001519311,,,,,
1.56509E+12,0.660889,0.214966,0.766907,5,1.034954587,0.005122879,2.62439E-05,,,,,
1.56509E+12,0.648499,0.258423,0.756958,5,1.029717832,-0.000113877,1.29679E-08,,,,,
1.56509E+12,0.561768,0.234497,0.808899,5,1.012368372,-0.017463337,0.000304968,,,,,
1.56509E+12,0.494385,0.225952,0.835388,5,0.996666416,-0.033165293,0.001099937,,,,,
1.56509E+12,0.49231,0.22467,0.848572,5,1.006439359,-0.023392349,0.000547202,,,,,
1.56509E+12,0.500854,0.23114,0.858948,5,1.020819326,-0.009012383,8.12231E-05,,,,,
1.56509E+12,0.486938,0.23877,0.861572,5,1.018050117,-0.011781592,0.000138806,,,,,
1.56509E+12,0.460999,0.249695,0.863892,5,1.010533057,-0.019298652,0.000372438,,,,,
1.56509E+12,0.43927,0.279236,0.899658,5,1.039382217,0.009550508,9.12122E-05,,,,,
1.56509E+12,0.445679,0.321838,0.90094,5,1.055415725,0.025584016,0.000654542,,,,,
1.56509E+12,0.366638,0.346313,0.880371,5,1.014598056,-0.015233653,0.000232064,,,,,
1.56509E+12,0.292542,0.32666,0.892761,5,0.994640528,-0.035191181,0.001238419,,,,,
1.56509E+12,0.289185,0.294556,0.924622,5,1.012579401,-0.017252307,0.000297642,,,,,
1.56509E+12,-0.0411377,0.196777,0.93457,5,0.955946956,-0.073884753,0.005458957,,,,,
1.56509E+12,-0.332336,0.203979,1.05182,5,1.121775362,0.091943653,0.008453635,,,,,
1.56509E+12,-0.501648,0.222107,1.10498,5,1.23367866,0.203846951,0.041553579,,,,,
1.56509E+12,-0.43927,0.182495,1.05713,5,1.15921801,0.129386301,0.016740815,,,,,
1.56509E+12,-0.34314,0.108215,0.978699,5,1.042740274,0.012908565,0.000166631,,,,,
1.56509E+12,-0.395203,0.131592,0.949036,5,1.036422305,0.006590596,4.3436E-05,,,,,
1.56509E+12,-0.220764,0.230042,0.866638,5,0.923427035,-0.106404674,0.011321955,,,,,
1.56509E+12,0.25647,0.325928,0.842041,5,0.93863676,-0.091194949,0.008316519,,,,,
1.56509E+12,0.553833,0.383118,0.779541,5,1.030142983,0.000311274,9.68913E-08,,,,,
1.56509E+12,0.888367,0.378235,0.453735,5,1.066833207,0.037001498,0.001369111,,,,,
1.56509E+12,1.4007,0.277039,0.281555,5,1.455329624,0.425497915,0.181048476,,,,,
1.56509E+12,1.159,0.242126,0.491821,5,1.282105259,0.25227355,0.063641944,,,,,
1.56509E+12,0.578491,0.248962,0.535034,5,0.826374791,-0.203456918,0.041394717,,,,,
1.56509E+12,0.559814,0.300354,0.556641,5,0.844661733,-0.185169976,0.03428792,,,,,
1.56509E+12,0.754211,0.3302,0.759094,5,1.119861587,0.090029878,0.008105379,,,,,
1.56509E+12,0.711548,0.330139,0.865112,5,1.167780411,0.137948702,0.019029844,,,,,
1.56509E+12,0.4422,0.305115,0.871582,5,1.023860921,-0.005970788,3.56503E-05,,,,,
1.56509E+12,0.125244,0.321289,0.920776,5,0.983229944,-0.046601765,0.002171724,,,,,
1.56509E+12,-0.0183105,0.415283,0.975281,5,1.0601737,0.030341991,0.000920636,,,,,
1.56509E+12,0.0197754,0.457336,1.00024,5,1.100012428,0.070180719,0.004925333,,,,,
1.56509E+12,0.14447,0.461792,0.984985,5,1.097414636,0.067582927,0.004567452,,,,,
1.56509E+12,0.374634,0.508423,1.03021,5,1.208377931,0.178546222,0.031878754,,,,,
1.56509E+12,0.408936,0.497742,0.989746,5,1.180920359,0.15108865,0.02282778,,,,,
1.56509E+12,0.314453,0.427307,0.852966,5,1.004501348,-0.025330361,0.000641627,,,,,
1.56509E+12,0.320618,0.430542,0.873901,5,1.025604833,-0.004226876,1.78665E-05,,,,,
1.56509E+12,0.169739,0.495911,1.02637,5,1.152464501,0.122632792,0.015038802,,,,,
1.56509E+12,0.0134888,0.48175,0.939392,5,1.05580412,0.025972411,0.000674566,,,,,
1.56509E+12,0.0994263,0.460083,0.874268,5,0.992928241,-0.036903468,0.001361866,,,,,
